 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.232E2,3.808E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.232E2,3.808E2,0.000E0,0.000E0,0.000,0.000,NaN
2,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.638E2,3.802E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.638E2,3.802E2,0.000E0,0.000E0,0.000,0.000,NaN
3,202_Booth-et-al-1998-tech-rep.png,0.000E0,2.042E2,3.802E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.042E2,3.802E2,0.000E0,0.000E0,0.000,0.000,NaN
4,202_Booth-et-al-1998-tech-rep.png,0.000E0,2.442E2,3.802E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.442E2,3.802E2,0.000E0,0.000E0,0.000,0.000,NaN
5,202_Booth-et-al-1998-tech-rep.png,0.000E0,2.842E2,3.805E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.842E2,3.805E2,0.000E0,0.000E0,0.000,0.000,NaN
6,202_Booth-et-al-1998-tech-rep.png,0.000E0,3.242E2,3.805E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.242E2,3.805E2,0.000E0,0.000E0,0.000,0.000,NaN
7,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.228E2,3.285E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.228E2,3.285E2,0.000E0,0.000E0,0.000,0.000,NaN
8,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.228E2,2.755E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.228E2,2.755E2,0.000E0,0.000E0,0.000,0.000,NaN
9,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.228E2,2.225E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.228E2,2.225E2,0.000E0,0.000E0,0.000,0.000,NaN
10,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.232E2,1.698E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.232E2,1.698E2,0.000E0,0.000E0,0.000,0.000,NaN
11,202_Booth-et-al-1998-tech-rep.png,0.000E0,1.638E2,2.948E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.638E2,2.948E2,0.000E0,0.000E0,0.000,0.000,NaN
12,202_Booth-et-al-1998-tech-rep.png,0.000E0,2.245E2,3.222E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.245E2,3.222E2,0.000E0,0.000E0,0.000,0.000,NaN
13,202_Booth-et-al-1998-tech-rep.png,0.000E0,2.045E2,2.505E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.045E2,2.505E2,0.000E0,0.000E0,0.000,0.000,NaN
14,202_Booth-et-al-1998-tech-rep.png,0.000E0,3.038E2,2.122E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.038E2,2.122E2,0.000E0,0.000E0,0.000,0.000,NaN
15,202_Booth-et-al-1998-tech-rep.png,0.000E0,3.638E2,1.028E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.638E2,1.028E2,0.000E0,0.000E0,0.000,0.000,NaN
16,202_Booth-et-al-1998-tech-rep.png,0.000E0,3.535E2,5.650E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.535E2,5.650E1,0.000E0,0.000E0,0.000,0.000,NaN
17,202_Booth-et-al-1998-tech-rep.png,0.000E0,4.242E2,8.350E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.242E2,8.350E1,0.000E0,0.000E0,0.000,0.000,NaN
18,202_Booth-et-al-1998-tech-rep.png,0.000E0,4.448E2,6.450E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.448E2,6.450E1,0.000E0,0.000E0,0.000,0.000,NaN
