"Species_latin","Test_performance2","min_swim_speedBL","max_swim_speedBL","mean_swim_speedBL","count_swimBL","min_LengthCM","max_LengthCM","mean_LengthCM","min_Sizekg","max_Sizekg","mean_Sizekg","min_Temp","max_Temp","mean_Temp"
"Oncorhynchus gorbuscha","Field",0.45,3.27,1.50421195722222,18,49.05,79.6,62.1305555555556,2.38,4.45,3.43333333333333,9.45,14.65,11.7611111111111
"Oncorhynchus gorbuscha","Ucrit",1.252477341,3.39,2.23411276734426,61,46.1,55.5,52.6058333333333,1.361,1.823,1.71777586206897,8.992989136,22.00021279,14.1821872552667
"Oncorhynchus gorbuscha","Umax",1.275957658,3.903562727,2.75585627315909,132,51,51,51,1.6,1.6,1.6,7.188708859,28.16423514,17.55508423525
"Oncorhynchus keta","Field",0.513850575,3.32,1.66571601616216,37,53.6,68.7,62.1675,1.55,2.32,2.03333333333333,9.45,12.3,10.4863636363636
"Oncorhynchus keta","Ucrit",1.249708372,2.556497948,1.54452420745,20,62.1,68.3,63.165,1.9,2.86,2.38,10.1,13.35,13.0921052631579
"Oncorhynchus kisutch","Ucrit",1.23,4.247723035,2.37739228193805,113,49.8,71.4,57.8469026548673,1.357,4.108,2.19861946902655,4.686683783,18.30006704,11.0695717044602
"Oncorhynchus kisutch","Umax",1.98,2.97,2.296984127,21,60.6,66,62.9142857142857,2.56,2.56,2.56,10,15,13.1428571428571
"Oncorhynchus masou","Field",1.13,6.6,2.45712284559091,22,51.45,55.95,53.7,Inf,-Inf,NA,12,12,12
"Oncorhynchus masou","Ucrit",1.89,1.89,1.89,1,53.3,53.3,53.3,1.7,1.7,1.7,12.75,12.75,12.75
"Oncorhynchus mykiss","Ucrit",1.08947286,3.534680859,1.93632003367424,132,30.1,42.5,36.3541666666667,0.4454,1.11,0.571241230769231,5,19,9.85909090909091
"Oncorhynchus nerka","Field",0.48,13.47622009,2.5031396287375,80,53.95,73.1,61.4666666666667,1.8,2.8,2.22222222222222,9.5,19.85,15.66125
"Oncorhynchus nerka","Ucrit",0.64,3.6,1.93041114832234,273,41.8,64.2,60.0272811059908,0.746,3.56,2.32657992565056,9.5,25.6,16.002965497033
"Oncorhynchus tshawytscha","Field",0.96,1.58,1.22428571428571,7,76,76,76,6,6,6,13.5,13.5,13.5
"Oncorhynchus tshawytscha","Ucrit",1.23,1.9,1.565,2,45.5,45.5,45.5,1.31,1.31,1.31,10.75,10.75,10.75
"Salmo salar","Field",6.165,7.906,6.99566666666667,3,51.2,51.2,51.2,1.16,1.16,1.16,10.1,10.1,10.1
"Salmo salar","Swim",2.03,4.39,3.5637608696,15,40,59.58,54.5345454545455,0.84742,1.76,1.41444214285714,11.2,12.5,12.4133333333333
"Salmo salar","Ucrit",1.72,4.100807642,2.934810580375,176,27.8,59.58,36.9465540540541,0.00135,1.796,0.678788557613636,9,18,12.5663068181818
