"Species_latin","Test_performance2","min_swim_speedCM","max_swim_speedCM","mean_swim_speedCM","count_swim","min_LengthCM","max_LengthCM","mean_LengthCM","min_Sizekg","max_Sizekg","mean_Sizekg","min_Temp","max_Temp","mean_Temp"
"Oncorhynchus gorbuscha","Field",32.6474,180.9945,92.9993141752708,24,49.05,79.6,59.2354166666667,1.18,4.45,2.654,9.45,14.65,12.4833333333333
"Oncorhynchus gorbuscha","Ucrit",62.2255281,173.9256232,116.713998769833,60,46.1,55.5,52.6058333333333,1.361,1.823,1.71777586206897,8.992989136,22.00021279,14.1683260223051
"Oncorhynchus gorbuscha","Umax",65.073840558,199.081699077,140.548669931114,132,51,51,51,1.6,1.6,1.6,7.188708859,28.16423514,17.55508423525
"Oncorhynchus keta","Field",33.58013507625,201.192,90.56438863005,16,53.6,68.7,61.796875,1.55,2.32,2.03333333333333,9.45,12.3,10.4863636363636
"Oncorhynchus keta","Fishway",56.7675,277.368,156.81325,8,62.05,76.2,69.925,Inf,-Inf,NA,Inf,-Inf,NA
"Oncorhynchus keta","Ucrit",78.2942295058,174.6088098484,104.727560055038,28,59.55397456,71.78948099,63.9102000353571,1.9,2.86,2.38,8,20,12.7685185185185
"Oncorhynchus kisutch","Field",51.816,106.68,74.8453333333333,18,Inf,-Inf,NA,Inf,-Inf,NA,19.35,19.35,19.35
"Oncorhynchus kisutch","Fishway",198.12,350.52,253.419428571429,7,35.56,61,55.1714285714286,Inf,-Inf,NA,18.8888889,19.1666667,19.0277778
"Oncorhynchus kisutch","Swim",152.4,457.2,198.555428571429,77,26.035,76.2,55.5625,Inf,-Inf,NA,10,10.13888889,10.052816901831
"Oncorhynchus kisutch","TTF",91.44,304.8,175.047797468354,158,47.625,81.915,60.6815368852459,Inf,-Inf,NA,9.444444444,12.77777778,10.9414556976203
"Oncorhynchus kisutch","Ucrit",50,176.7617473,119.152961145278,128,49.8,71.4,57.6763779527559,1.357,4.108,2.19105511811024,4.686683783,18.30006704,10.9223562703437
"Oncorhynchus kisutch","Umax",121.8464000202,187,143.822095239057,21,60.6,66,62.9142857142857,2.56,2.56,2.56,10,15,13.1428571428571
"Oncorhynchus masou","Fishway",58.1385,77.211,67.645875,4,51.45,55.95,53.7,Inf,-Inf,NA,Inf,-Inf,NA
"Oncorhynchus masou","Ucrit",100.737,100.737,100.737,1,53.3,53.3,53.3,1.7,1.7,1.7,12.75,12.75,12.75
"Oncorhynchus mykiss","Field",66.45729302,106.105841,76.81113448625,8,34.75,44.25,39.5,Inf,-Inf,NA,17.35,17.35,17.35
"Oncorhynchus mykiss","Fishway",198.12,569.976,392.176,6,60.96,81.28,68.58,Inf,-Inf,NA,19.1666667,19.4444444,19.2129629833333
"Oncorhynchus mykiss","Swim",185.928,225.552,212.7504,10,58.7375,67.945,63.78575,Inf,-Inf,NA,7.083333333,7.083333333,7.083333333
"Oncorhynchus mykiss","TTF",121.92,304.8,213.36,98,45.085,81.915,65.343443877551,Inf,-Inf,NA,10.97222222,10.97222222,10.97222222
"Oncorhynchus mykiss","Ucrit",36.036,152.8333333,76.9239842413708,191,30.1,51,37.9057986948975,0.437,1.471,0.642110227721925,5,19,9.64100529100529
"Oncorhynchus mykiss","Umax",70.6,93.6,85.86,5,34.9099209783364,34.9099209783364,34.9099209783364,0.452,0.452,0.452,9.5,10,9.76
"Oncorhynchus nerka","Field",6.454767365,291.95,92.5081865285846,231,52.2554817069012,73.1,59.1217413125314,1.68,2.64,1.993,9.5,19.35,17.1850710900474
"Oncorhynchus nerka","Fishway",51.4168267204,749.259653825063,240.708227831752,40,52.7585966809912,61.3141089274896,57.5672841720172,1.8,2.8,2.22222222222222,16.3,19.85,17.3025
"Oncorhynchus nerka","Jump",114,546,328,9,29,59.5,49.3333333333333,0.28,2.7,1.89333333333333,Inf,-Inf,NA
"Oncorhynchus nerka","Swim",112.776,216.408,176.724235294118,51,54.61,75.565,64.4338235294118,Inf,-Inf,NA,14.44444444,14.58333333,14.5234204754902
"Oncorhynchus nerka","TTF",65.2,286.512,205.205965615697,1229,40.637750149535,55.1,41.7382563479052,0.835571429,1.969,0.905880642830204,13,18.61111111,17.5248371324919
"Oncorhynchus nerka","Ucrit",37.0013251722116,178,115.208994733739,411,41.8,69.5,59.5367323460866,0.746,3.56,2.33149122807018,8.75,26,16.9252057924331
"Oncorhynchus tshawytscha","Field",70.6,336.9043396,234.153924718182,44,76,77.9,77.5977272727273,5.9,6,5.91590909090909,10,13.5,10.5568181818182
"Oncorhynchus tshawytscha","Fishway",176.784,481.584,355.092,6,50.8,96.52,75.3533333333333,Inf,-Inf,NA,18.8888889,19.4444444,19.1666666666667
"Oncorhynchus tshawytscha","Ucrit",55.965,230,178.958391309091,33,45.5,95.1968468299154,73.4512348502209,1.31,11.5,5.04606060606061,8,20,13.296875
"Salmo salar","Fishway",323.9,406,357.866666666667,3,51.2,51.2,51.2,1.16,1.16,1.16,10.1,10.1,10.1
"Salmo salar","Swim",91,237.5731995648,189.025922012504,15,40,59.58,52.2199508455353,0.84742,1.76,1.41444214285714,11.2,12.5,12.4133333333333
"Salmo salar","TTF",60,240.4604582,124.680247886171,147,37.4657226876975,64,46.5076978207969,0.592,3.158,0.986049545454545,4.05,18,10.8986394557823
"Salmo salar","Ucrit",58.48,234.743833,119.279726201705,253,27.8,63.8,40.9305083867978,0.00135,2.535,0.781679941021277,3,23,12.1950197628459
